"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","64.049","64.215","64.602","64.944","65.303","65.615","66.126","66.385","66.744","67.098","67.44","67.783","68.335","68.862","69.278","69.564","69.808","70.054","70.271","70.507","70.771","71.344","71.485","71.606","71.711","71.792","71.831","72.448","72.519","72.531","72.546","72.592","72.717","72.777","72.796","72.832","72.856","72.904","72.94","72.857","72.939","73.044","73.135","73.236","73.223","73.415","73.498","73.642","73.783","73.974","74.297","74.578","74.841","75.072","75.261","75.405","75.54","75.62","75.88","76.019","75.406","73.655","76.226","76.353","",
"","AFE","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","44.1692574267375","44.4688383362574","44.8778899276436","45.160582805883","45.5356954673738","45.7707229233552","45.7657253575752","46.4407454164319","46.7386317469603","46.977475702472","47.2480056807395","47.4640156591505","47.1667922827106","47.7466079240168","47.7443277639797","47.9685480547675","48.568138198282","48.8607248856663","48.9839167133521","49.4169883847351","49.816713138052","50.0204932967522","50.2908293797205","48.9040956565702","48.9979586702536","49.3929024640878","50.0097614989116","51.0689429320971","50.8766070614947","51.2658735140762","51.0963264543047","50.8732436063946","50.7159460478921","51.0737619133776","50.9665887956465","51.4820566813357","51.3531898360738","51.5708865171429","51.3179554721368","51.8070772449868","52.5573418626777","52.8755360536287","53.2067443343026","53.6783047685822","54.1929278660434","54.8076807136336","55.6935152578453","56.4843531784534","57.2401063228798","58.0955271436463","58.827279206282","59.2000040300701","60.2495123598467","60.895739752772","61.2514360156709","61.713030523495","62.1679813169199","62.5912750961501","63.3306913582336","63.8572612837043","63.7664840026943","62.9799991857494","64.4870195456608","65.146290855385","",
"Afghanistan","AFG","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","32.799","33.291","33.757","34.201","34.673","35.124","35.583","36.042","36.51","36.979","37.46","37.932","38.423","38.951","39.469","39.994","40.518","41.082","40.086","38.844","39.258","39.406","36.058","36.517","31.473","32.132","38.4","38.831","43.238","44.496","45.118","45.521","46.569","51.021","50.969","52.103","52.83","53.212","52.487","54.532","55.005","55.511","56.225","57.171","57.81","58.247","58.553","58.956","59.708","60.248","60.702","61.25","61.735","62.188","62.26","62.27","62.646","62.406","62.443","62.941","61.454","60.417","65.617","66.035","",
"","AFW","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","37.779636388716","38.0589555015645","38.6817923842751","38.9369177714205","39.1945798827297","39.4797844952672","39.7192480311618","39.5293590242118","40.2588895462561","40.5678141333761","41.2779385070111","41.7301022111752","42.3561322199373","42.8681230391338","43.4371553343667","43.9670793793715","44.7525700464106","45.3622641589988","45.8762783649255","46.3285066416568","46.6962289703039","47.0752192986973","47.3739420165367","47.6195029699404","47.7975143595136","47.9442749866395","48.0379744032839","48.1393774166565","48.3713349117664","48.4959643881995","48.4592954544909","48.5310758841945","48.6885921357603","48.8549400132309","48.8592831063574","49.027006694122","49.1115573704458","49.2187834859164","49.4524590240079","49.8237633292581","50.2979830815751","50.6777904131384","51.1080235711343","51.5781222446253","52.106083093576","52.5557531001128","52.9787097061283","53.482431405345","53.9162616333208","53.852245462001","54.603353213388","54.9639734890226","55.2927058217917","55.5549074075857","55.6954463398568","56.0383356484355","56.3924518507367","56.6264388112566","57.036976441386","57.1498467555118","57.3644254011107","57.3625716910274","57.9878133945189","58.8557215483277","",
"Angola","AGO","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","37.933","36.902","37.168","37.419","37.704","37.968","38.258","38.616","38.968","39.329","39.688","40.076","40.469","40.871","41.26","40.817","40.812","41.215","41.573","41.913","42.242","42.556","42.857","41.972","42.245","42.495","42.739","40.786","41.471","41.698","41.854","43.812","42.267","42.19","43.567","46.139","46.418","46.688","45.452","45.808","46.501","47.032","47.874","50.218","51.123","52.13","52.965","54.2","55.281","56.225","57.242","58.093","58.916","59.705","60.396","61.042","61.619","62.122","62.622","63.051","63.116","62.958","64.246","64.617","",
"Albanie","ALB","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","56.413","57.488","58.494","59.479","60.404","61.273","62.149","62.976","63.788","64.538","65.234","65.896","66.526","67.107","67.633","68.12","68.57","68.992","69.367","69.617","69.903","70.145","70.425","70.705","70.984","71.282","71.665","71.981","72.217","72.457","72.71","73.001","73.303","73.638","73.837","74.022","74.113","73.383","74.357","74.568","74.826","75.083","75.299","75.557","75.951","76.427","76.994","77.691","78.248","78.509","78.414","78.303","78.084","77.995","78.029","78.358","78.643","78.9","79.238","79.467","77.824","76.844","78.769","79.602","",
"Andorre","AND","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","72.094","72.573","72.993","73.298","73.624","73.856","74.02","74.119","74.22","74.296","74.452","74.615","74.864","75.096","75.34","75.567","75.869","76.154","76.488","76.819","77.137","77.391","77.617","77.787","77.916","78.006","78.107","78.189","78.364","78.557","78.961","79.346","79.794","80.186","80.587","80.804","81.009","81.145","81.28","81.55","81.863","82.162","82.448","82.718","82.815","83.086","83.374","83.632","83.855","84.1","84.197","84.296","84.334","84.406","84.485","84.532","84.489","84.359","84.242","84.098","79.418","82.331","84.016","84.041","",
"Le monde arabe","ARB","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","44.7940556740454","45.5453710396097","45.9937691698037","46.9793381533999","47.5700340647645","48.117159090464","48.6254239825646","49.0924336025973","49.6577868587798","50.1488565803658","50.6928710622557","51.318318885342","51.8937104276574","52.3019604795893","52.9255502155293","53.4203511944222","53.8506489883016","55.0819222407783","55.757128481753","56.4797481519221","57.0063532889679","57.5691664444265","57.8702345782784","58.6376067378553","59.3295817498183","59.9894611140008","60.9186844945402","61.6208093313694","61.6715328559911","62.298247176217","62.7559727299802","62.8275066232407","63.5755762828725","64.6012801061363","64.8500832261274","65.2025060952802","65.5268890989846","65.8529924943129","66.1935792889826","66.5499343902956","66.8906998949344","67.2406170439926","67.5806302791343","67.6503349498777","67.7331029040443","68.0405024136348","68.4912652387812","68.8792264386993","69.2581327561764","69.7069035410593","69.8073221012027","69.3633376859826","69.842316602094","70.1921058451273","70.5350666310281","70.6580123695192","70.8964881164428","71.1128560080647","71.4312997859137","71.8398932674972","70.7265588103862","70.4041144889903","71.8760955992222","72.4389553086745","",
"Émirats arabes unis","ARE","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","50.651","51.596","52.546","53.509","54.495","55.512","56.572","57.648","58.727","59.764","60.78","61.753","62.675","63.542","64.351","65.105","65.806","66.471","67.083","67.645","68.157","68.622","69.056","69.448","69.802","70.123","70.41","70.623","70.808","70.96","71.074","71.144","71.166","71.159","71.204","71.392","71.82","72.559","73.66","74.982","76.347","77.621","78.721","79.6","80.272","80.779","81.155","81.438","81.591","81.679","81.886","81.898","81.913","81.95","81.99","82.076","82.195","82.388","82.449","82.596","81.936","79.083","80.487","82.909","",
"Argentine","ARG","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","64.242","64.631","64.618","64.855","64.816","65.053","65.398","65.467","65.234","65.085","65.647","65.619","65.953","66.186","66.405","66.965","67.03","67.595","67.999","68.434","68.576","68.858","68.973","69.29","69.353","69.879","70.281","70.699","71.097","71.502","71.615","72.02","72.096","72.303","72.732","72.864","73.056","73.407","73.412","73.683","73.91","74.154","74.312","74.307","74.871","75.231","75.279","74.783","75.428","75.577","75.68","76.1","75.802","75.829","76.268","76.6","76.105","76.543","76.77","76.847","75.878","73.948","75.806","77.395","",
"Arménie","ARM","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","59.063","59.4940975609756","59.9166829268293","60.3282682926829","60.7238292682927","61.0993414634146","61.4538292682927","61.784756097561","62.0936341463415","62.3799512195122","62.6447073170732","62.8889024390244","63.1144878048781","63.3309268292683","63.546756097561","63.7678780487805","64.0014878048781","64.2539512195122","64.5261951219512","64.8208292682927","65.1385609756098","65.4824878048781","65.8509268292683","66.229243902439","66.5913658536585","66.9152682926829","67.178","67.3590731707317","52.6001219512195","67.5185609756098","67.5493658536585","67.6270487804878","67.7185365853659","67.9731951219512","68.2718048780488","68.628487804878","69.0061219512195","69.3938292682927","69.7993414634146","70.1989512195122","72.8804878048781","72.9756097560976","72.8268292682927","72.8268292682927","73.0268292682927","73.0756097560976","72.8243902439025","72.8731707317073","73.0731707317073","73.0731707317073","73.1731707317073","73.8170731707317","74.119512195122","74.6219512195122","74.8731707317073","74.8707317073171","74.8682926829268","75.2170731707317","75.619512195122","76.2219512195122","73.3756097560976","72.2780487804878","74.7658536585366","77.4658536585366","",
"Samoa américaines","ASM","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","65.053","65.648","66.008","66.161","66.135","65.996","58.284","65.807","65.847","66.05","66.364","66.77","67.186","67.604","67.95","68.256","68.475","68.701","68.881","69.114","69.413","69.731","69.975","70.163","70.326","70.532","70.704","70.828","70.883","70.929","71.107","71.312","71.511","71.54","71.569","71.565","71.576","71.606","71.542","71.484","71.443","71.573","71.755","71.698","72.277","72.382","72.397","72.365","72.43","70.839","72.587","72.662","72.709","72.769","72.687","72.654","72.64","72.801","72.794","72.751","72.672","72.708","72.752","72.852","",
"Antigua-et-Barbuda","ATG","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","62.635","63.335","63.995","64.697","65.428","66.171","66.902","67.586","68.23","68.827","69.371","69.861","70.304","70.71","71.095","71.447","71.794","72.149","72.5","72.823","73.094","73.32","73.525","73.684","73.808","73.873","73.893","73.873","73.811","73.628","73.602","73.472","73.386","73.39","73.493","73.576","73.839","74.045","74.187","74.456","74.819","75.108","75.237","75.313","75.329","75.364","75.506","75.72","76.075","76.386","76.701","77.023","77.1","77.05","76.912","76.892","76.968","77.03","77.132","77.168","77.161","77.197","77.483","77.598","",
"Australie","AUS","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","70.8170731707317","70.9731707317073","70.9424390243903","70.9117073170732","70.8809756097561","70.850243902439","70.819512195122","70.8692682926829","70.9190243902439","70.9687804878049","71.0185365853659","71.0682926829268","71.4575609756098","71.8468292682927","72.2360975609756","72.6253658536586","73.0146341463415","73.3443902439024","73.6741463414634","74.0039024390244","74.3336585365854","74.6634146341463","74.9048780487805","75.1463414634146","75.3878048780488","75.6292682926829","75.8707317073171","76.1517073170732","76.4326829268293","76.7136585365854","76.9946341463415","77.2756097560976","77.3780487804878","77.8780487804878","77.8780487804878","77.8292682926829","78.0780487804878","78.4804878048781","78.6317073170732","78.9317073170732","79.2341463414634","79.6341463414634","79.9365853658537","80.2390243902439","80.490243902439","80.8414634146341","81.0414634146342","81.2926829268293","81.3951219512195","81.5439024390244","81.6951219512195","81.8951219512195","82.0463414634146","82.1487804878049","82.3","82.4","82.4487804878049","82.5","82.7487804878049","82.9","83.2","83.3","83.2","83.0512195121951","",
"Autriche","AUT","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","68.5856097560976","69.5773170731707","69.309512195122","69.4436585365854","69.9219512195122","69.7221951219512","70.0458536585366","69.9178048780488","70.0575609756098","69.8331707317073","69.9146341463415","70.1146341463415","70.4634146341463","71.0146341463415","71.0121951219512","71.1146341463415","71.5658536585366","71.9146341463415","72.0121951219512","72.3121951219512","72.4634146341463","72.8121951219512","72.9609756097561","73.0121951219512","73.6121951219512","73.8146341463415","74.3170731707317","74.7682926829268","75.2170731707317","75.2658536585366","75.5682926829269","75.6170731707317","75.8170731707317","76.0682926829268","76.419512195122","76.6682926829268","76.8707317073171","77.319512195122","77.6707317073171","77.8756097560976","78.1268292682927","78.5756097560976","78.6780487804878","78.6317073170732","79.1804878048781","79.3317073170732","79.8804878048781","80.1804878048781","80.4317073170732","80.3317073170732","80.5804878048781","80.9829268292683","80.9365853658537","81.1365853658537","81.490243902439","81.190243902439","81.6414634146342","81.6439024390244","81.6926829268293","81.8951219512195","81.1926829268293","81.190243902439","81.2951219512195","81.5414634146342","",
"Azerbaïdjan","AZE","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","50.862","51.435","52.053","52.696","53.292","53.884","54.485","55.032","55.563","56.08","56.586","57.043","57.503","57.926","58.332","58.687","59.477","59.972","60.494","60.931","61.433","61.908","62.23","62.479","62.084","62.674","62.603","62.824","62.672","62.945","62.75","62.544","60.773","61.426","60.277","61.931","62.66","62.953","63.75","64.733","65.377","66.043","66.769","67.036","67.488","67.71","68.489","68.659","69.355","69.874","70.309","70.565","71.08","71.485","71.93","72.349","72.568","72.694","73.016","73.29","70.312","70.999","74.125","74.429","",
"Burundi","BDI","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","43.262","43.364","43.492","43.559","43.601","41.844","43.529","43.332","43.405","43","43.225","43.172","25.777","37.409","43.337","43.445","43.691","43.97","44.404","45.038","45.731","46.412","47.012","47.433","47.687","47.662","47.402","47.066","42.889","45.745","45.184","44.66","44.469","37.221","44.515","44.589","44.807","45.721","46.678","47.627","47.617","48.509","49.924","50.997","52.217","53.053","53.962","54.832","55.581","56.422","57.088","57.804","58.501","59.179","59.764","60.107","60.789","61.345","61.806","62.18","62.569","62.101","62.882","63.651","",
"Belgique","BEL","Espérance de vie à la naissance, total (années)","SP.DYN.LE00.IN","69.7019512195122","70.5209756097561","70.219512195122","70.0514634146342","70.7551219512195","70.6253658536586","70.7063414634146","71.0129268292683","70.6931707317073","70.7648780487805","70.9719512195122","71.0604878048781","71.4051219512195","71.6353658536586","71.9858536585366","71.9712195121951","72.119756097561","72.7739024390244","72.6980487804878","73.1936585365854","73.2070731707317","73.6217073170732","73.8880487804878","73.8690243902439","74.4048780487805","74.520243902439","74.7317073170732","75.3658536585366","75.5658536585366","75.6326829268293","76.0519512195122","76.1921951219512","76.3512195121951","76.3453658536585","76.6917073170732","76.8407317073171","77.1873170731707","77.3707317073171","77.4731707317073","77.619512195122","77.7219512195122","77.9731707317073","78.0756097560976","78.1292682926829","78.8780487804878","78.9804878048781","79.380487804878","79.7829268292683","79.6804878048781","80.0341463414634","80.1829268292683","80.5853658536585","80.3853658536585","80.5878048780488","81.2878048780488","80.9926829268293","81.4390243902439","81.4926829268293","81.5951219512195","81.9951219512195","80.6951219512195","81.790243902439","81.7487804878049","82.3975609756098","",
